lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,M0_kipft,qu_psf,punch_ratio,punch_ok,defl_ratio,defl_ok,col_min_in,col_max_in,As_cs_in2,As_ms_in2,As_total_in2,runtime_s
36.0,36.0,12.007874015748031,40.0,EFM (ASAP),14.39632545931759,1513.9385881724108,301.89851069531875,1.0,true,0.04910869284037596,true,28.999999999999996,34.99999999999999,51.2,11.4,62.6,0.824
36.0,36.0,12.007874015748031,40.0,FEA,15.5,1586.2266608181603,318.2967465653974,1.0,true,0.2258951440273334,true,28.999999999999996,34.99999999999999,42.199999999999996,12.599999999999998,54.79999999999999,9.47
36.0,36.0,12.007874015748031,50.0,MDDM,14.39632545931759,1580.277885142555,317.8985106953188,1.0,true,0.48905756694364655,true,28.999999999999996,34.99999999999999,45.800000000000004,12.399999999999999,58.199999999999996,6.861
36.0,36.0,12.007874015748031,50.0,DDM (Full),15.0,1624.8644418199801,326.8678192568362,1.0,true,0.33234773680317486,true,28.999999999999996,34.99999999999999,45.400000000000006,12.399999999999999,57.800000000000004,8.264
36.0,36.0,12.007874015748031,50.0,EFM (HC),15.0,1629.9602651151463,326.8678192568362,1.0,true,0.05426872007898369,true,28.999999999999996,34.99999999999999,52.79999999999999,11.999999999999998,64.8,0.158
36.0,36.0,12.007874015748031,50.0,EFM (ASAP),14.39632545931759,1584.2420588351706,317.8985106953188,1.0,true,0.061385866050469876,true,28.999999999999996,34.99999999999999,54.0,11.799999999999999,65.8,0.046
36.0,36.0,12.007874015748031,50.0,FEA,15.0,1624.8644418199801,326.8678192568362,1.0,true,0.32745067084886814,true,28.999999999999996,34.99999999999999,44.599999999999994,12.399999999999999,57.0,7.969
36.0,36.0,12.007874015748031,80.0,MDDM,14.39632545931759,1814.3295329091736,365.8985106953188,1.0,true,0.8650528598769903,true,28.999999999999996,34.99999999999999,52.0,13.799999999999999,65.8,6.253
36.0,36.0,12.007874015748031,80.0,DDM (Full),16.5,1969.3147170424631,397.15460118251985,1.0,true,0.3193858814375972,true,28.999999999999996,34.99999999999999,48.199999999999996,13.799999999999999,61.999999999999986,11.417
36.0,36.0,12.007874015748031,80.0,EFM (HC),14.39632545931759,1813.191172274046,365.8985106953188,1.0,true,0.09821738568075182,true,28.999999999999996,35.99999999999999,63.199999999999996,13.199999999999998,76.39999999999999,0.044
36.0,36.0,12.007874015748031,80.0,EFM (ASAP),14.39632545931759,1813.191172274046,365.8985106953188,1.0,true,0.09821738568075192,true,28.999999999999996,35.99999999999999,63.0,13.4,76.39999999999999,0.09
36.0,36.0,12.007874015748031,80.0,FEA,17.0,2006.151495055428,404.58352849108104,1.0,true,0.2419989435334875,true,28.999999999999996,34.99999999999999,47.0,13.799999999999999,60.8,12.699
40.0,40.0,12.992125984251969,40.0,MDDM,17.0,2340.5947199444636,340.5835284910811,1.0,true,0.3336626441090822,true,32.0,35.99999999999999,55.400000000000006,15.799999999999999,71.2,7.989
40.0,40.0,12.992125984251969,40.0,DDM (Full),15.997375328083992,2238.2189756485755,325.686676880213,1.0,true,0.4428909154253954,true,32.0,35.99999999999999,57.0,15.599999999999998,72.6,5.455
40.0,40.0,12.992125984251969,40.0,EFM (HC),15.997375328083992,2238.2189756485755,325.686676880213,1.0,true,0.04910869284037596,true,32.0,36.0,68.0,14.6,82.6,0.033
